FullName,Email,Phone,TransactionType,Amount,TransactionDate,AccountType,Balance,OpeningDate,LoanAmount,LoanType,StartDate,EndDate,InterestRate
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,withdrawal,174.73,2020-03-28,Credit,9382.52,2022-08-17,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,477.95,2022-12-05,Checking,3929.98,2019-05-20,33579.17,Personal,2022-07-10,2029-09-09 04:59:17.905381,4.84
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,477.95,2022-12-05,Checking,3929.98,2019-05-20,20706.59,Mortgage,2021-02-23,2047-04-20 04:59:17.911914,5.64
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,157.48,2019-05-29,Checking,9940.6,2019-05-16,19635.04,Personal,2021-08-02,2026-01-11 04:59:17.907934,4.89
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,157.48,2019-05-29,Checking,9940.6,2019-05-16,42324.23,Mortgage,2023-04-04,2042-03-23 04:59:17.909368,5.25
Lauren Gray,kenneth99@example.net,218.715.2894x614,withdrawal,85.33,2022-11-19,Checking,4765.84,2022-02-19,48933.91,Auto,2020-08-06,2036-11-01 04:59:17.905052,4.43
Lauren Gray,kenneth99@example.net,218.715.2894x614,withdrawal,85.33,2022-11-19,Checking,4765.84,2022-02-19,47062.38,Mortgage,2019-10-22,2047-01-26 04:59:17.909784,6.27
Eric Anderson,spencer16@example.com,851-945-5888,withdrawal,445.89,2020-02-02,Checking,8922.24,2023-04-14,,,,,
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,481.43,2020-01-08,Checking,5816.22,2023-09-20,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43
Crystal George,james32@example.com,(934)652-9829,withdrawal,239.09,2023-04-23,Checking,4814.99,2023-11-02,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,239.09,2023-04-23,Checking,4814.99,2023-11-02,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,269.26,2023-11-12,Credit,4250.13,2020-09-19,15237.0,Mortgage,2022-04-24,2050-08-30 04:59:17.908761,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,269.26,2023-11-12,Credit,4250.13,2020-09-19,29065.5,Personal,2021-04-03,2029-10-01 04:59:17.912006,2.95
Sarah Green,lnelson@example.net,(390)584-3409x128,withdrawal,460.21,2020-09-04,Checking,4653.15,2022-08-19,45034.48,Mortgage,2019-10-04,2034-06-24 04:59:17.906623,2.58
Crystal George,james32@example.com,(934)652-9829,withdrawal,172.12,2023-02-19,Checking,8090.41,2021-03-08,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,172.12,2023-02-19,Checking,8090.41,2021-03-08,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
Chad Jensen,ambertaylor@example.org,6576129629,withdrawal,243.54,2023-10-11,Credit,6177.48,2023-12-16,,,,,
Jose Davis,adam18@example.com,001-372-794-0132x70818,deposit,454.61,2022-03-20,Checking,9908.2,2022-07-19,,,,,
Carly Mitchell,zachary24@example.org,(728)923-5061,deposit,161.07,2023-01-21,Checking,6878.1,2019-12-18,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,365.0,2023-06-24,Checking,2448.6,2022-11-04,14463.85,Auto,2019-09-25,2043-01-23 04:59:17.905321,6.45
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,365.0,2023-06-24,Checking,2448.6,2022-11-04,19565.92,Mortgage,2022-11-28,2050-11-01 04:59:17.911191,3.28
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,365.0,2023-06-24,Checking,2448.6,2022-11-04,8170.0,Personal,2019-10-13,2031-10-24 04:59:17.912604,3.53
Charles Wise,campossarah@example.net,532.804.9131x538,withdrawal,88.95,2022-11-15,Credit,2586.78,2023-03-06,20109.87,Auto,2021-06-30,2053-07-24 04:59:17.906568,4.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,411.8,2022-02-13,Savings,1443.64,2020-05-30,49675.33,Auto,2021-12-13,2036-08-10 04:59:17.909048,3.89
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,411.8,2022-02-13,Savings,1443.64,2020-05-30,31033.48,Personal,2023-11-11,2051-04-06 04:59:17.911837,5.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,411.8,2022-02-13,Savings,1443.64,2020-05-30,49754.29,Mortgage,2019-11-14,2037-12-30 04:59:17.914202,4.83
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,deposit,170.94,2020-01-30,Savings,9139.78,2023-01-03,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89
Carol Miller,yfisher@example.org,6088279027,deposit,69.89,2020-04-15,Savings,2470.66,2020-10-06,,,,,
Carol Miller,yfisher@example.org,6088279027,deposit,26.87,2024-01-06,Savings,5652.16,2019-08-12,,,,,
Desiree Nelson,johnsonhaley@example.com,231.515.3313,deposit,299.31,2020-12-30,Checking,6389.31,2021-04-28,37664.6,Mortgage,2022-12-21,2033-01-26 04:59:17.906957,4.45
Robert Brown,andersonmason@example.net,+1-653-515-2636x153,deposit,146.5,2019-08-08,Checking,2099.71,2021-11-11,,,,,
Vincent Patel,delacruzrobert@example.com,+1-958-663-1438,withdrawal,162.0,2021-03-07,Credit,1432.24,2023-02-20,36095.18,Personal,2020-01-18,2037-07-08 04:59:17.907126,4.43
Vincent Patel,delacruzrobert@example.com,+1-958-663-1438,withdrawal,162.0,2021-03-07,Credit,1432.24,2023-02-20,13231.5,Auto,2021-02-11,2029-08-28 04:59:17.907471,5.89
Vincent Patel,delacruzrobert@example.com,+1-958-663-1438,withdrawal,162.0,2021-03-07,Credit,1432.24,2023-02-20,34771.89,Mortgage,2020-09-07,2031-08-16 04:59:17.913676,6.08
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,151.28,2023-12-22,Savings,8330.83,2024-01-23,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,151.28,2023-12-22,Savings,8330.83,2024-01-23,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,151.28,2023-12-22,Savings,8330.83,2024-01-23,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58
Kimberly Fox,zcain@example.org,(970)563-6992x24062,withdrawal,300.94,2022-05-18,Credit,5498.05,2023-03-21,25100.13,Mortgage,2021-05-10,2046-11-02 04:59:17.905625,7.29
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,380.93,2022-05-10,Credit,4250.13,2020-09-19,15237.0,Mortgage,2022-04-24,2050-08-30 04:59:17.908761,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,380.93,2022-05-10,Credit,4250.13,2020-09-19,29065.5,Personal,2021-04-03,2029-10-01 04:59:17.912006,2.95
Kim Stone,garrett28@example.org,001-668-236-9938,withdrawal,413.78,2020-04-27,Savings,6995.71,2019-04-05,,,,,
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,23.87,2020-05-18,Checking,7800.33,2023-09-17,49675.33,Auto,2021-12-13,2036-08-10 04:59:17.909048,3.89
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,23.87,2020-05-18,Checking,7800.33,2023-09-17,31033.48,Personal,2023-11-11,2051-04-06 04:59:17.911837,5.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,23.87,2020-05-18,Checking,7800.33,2023-09-17,49754.29,Mortgage,2019-11-14,2037-12-30 04:59:17.914202,4.83
Danny Brown,michellearnold@example.org,824-606-7014x9045,withdrawal,241.7,2021-10-12,Savings,9418.14,2021-01-26,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,withdrawal,25.71,2022-04-09,Credit,5981.73,2020-06-08,,,,,
Peter Callahan,miranda13@example.org,+1-790-969-3518,withdrawal,307.91,2023-05-16,Savings,5436.03,2019-04-30,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81
Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,deposit,392.1,2022-12-18,Credit,8439.15,2020-11-05,,,,,
Crystal George,james32@example.com,(934)652-9829,deposit,377.49,2019-09-20,Checking,4814.99,2023-11-02,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
Crystal George,james32@example.com,(934)652-9829,deposit,377.49,2019-09-20,Checking,4814.99,2023-11-02,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,346.83,2023-07-03,Checking,2161.94,2021-11-06,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,346.83,2023-07-03,Checking,2161.94,2021-11-06,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,346.83,2023-07-03,Checking,2161.94,2021-11-06,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85
Kayla Blair,hmcmillan@example.com,(500)245-2355,deposit,111.3,2023-08-16,Savings,3485.52,2022-02-10,,,,,
Robert Brown,andersonmason@example.net,+1-653-515-2636x153,withdrawal,72.82,2024-02-07,Checking,2099.71,2021-11-11,,,,,
Crystal George,james32@example.com,(934)652-9829,withdrawal,383.12,2020-09-26,Checking,8090.41,2021-03-08,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,383.12,2020-09-26,Checking,8090.41,2021-03-08,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
Scott Collins,veronica19@example.org,001-449-712-6361x791,deposit,345.01,2023-07-10,Savings,5071.66,2021-07-31,47203.82,Auto,2021-06-15,2044-11-15 04:59:17.907182,5.28
Desiree Nelson,johnsonhaley@example.com,231.515.3313,withdrawal,423.27,2021-01-19,Checking,6389.31,2021-04-28,37664.6,Mortgage,2022-12-21,2033-01-26 04:59:17.906957,4.45
Carol Miller,yfisher@example.org,6088279027,deposit,438.4,2023-06-20,Savings,2470.66,2020-10-06,,,,,
Cindy Armstrong,penningtonjohn@example.com,+1-690-266-8798x994,withdrawal,480.48,2021-06-15,Savings,824.41,2019-09-21,30356.38,Auto,2020-06-01,2042-07-30 04:59:17.908299,5.99
Brian Dillon,swilson@example.net,001-699-957-2129x33878,deposit,34.64,2020-03-08,Checking,176.64,2019-04-22,38994.49,Auto,2020-12-24,2026-08-31 04:59:17.910448,5.55
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,130.01,2023-06-01,Checking,9940.6,2019-05-16,19635.04,Personal,2021-08-02,2026-01-11 04:59:17.907934,4.89
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,130.01,2023-06-01,Checking,9940.6,2019-05-16,42324.23,Mortgage,2023-04-04,2042-03-23 04:59:17.909368,5.25
Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,withdrawal,243.07,2023-07-12,Credit,9868.28,2019-07-25,42684.76,Personal,2024-01-15,2048-02-15 04:59:17.905910,1.96
Peter Callahan,miranda13@example.org,+1-790-969-3518,deposit,61.85,2021-02-13,Savings,5436.03,2019-04-30,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,185.4,2021-07-28,Credit,4750.66,2022-09-09,15237.0,Mortgage,2022-04-24,2050-08-30 04:59:17.908761,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,185.4,2021-07-28,Credit,4750.66,2022-09-09,29065.5,Personal,2021-04-03,2029-10-01 04:59:17.912006,2.95
Brian Dillon,swilson@example.net,001-699-957-2129x33878,deposit,201.65,2021-03-26,Checking,176.64,2019-04-22,38994.49,Auto,2020-12-24,2026-08-31 04:59:17.910448,5.55
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,420.1,2021-08-13,Savings,5901.01,2021-11-01,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52
Anita Park,xpayne@example.net,806-211-4478x986,withdrawal,155.91,2023-08-07,Checking,7676.38,2021-05-26,,,,,
Phillip Carr,nicole30@example.com,650-254-3916,deposit,100.03,2023-06-09,Checking,1958.76,2023-09-20,43727.85,Personal,2022-07-25,2051-05-23 04:59:17.905446,6.46
Phillip Carr,nicole30@example.com,650-254-3916,deposit,100.03,2023-06-09,Checking,1958.76,2023-09-20,19769.58,Personal,2020-08-14,2033-02-03 04:59:17.908875,6.15
Phillip Carr,nicole30@example.com,650-254-3916,deposit,100.03,2023-06-09,Checking,1958.76,2023-09-20,11336.16,Personal,2019-05-12,2036-06-15 04:59:17.910021,4.76
Evelyn Ward,paul13@example.org,(347)767-4187,deposit,255.21,2019-08-14,Checking,5674.38,2020-08-13,33958.37,Auto,2022-12-19,2036-09-06 04:59:17.905797,5.2
Evelyn Ward,paul13@example.org,(347)767-4187,deposit,255.21,2019-08-14,Checking,5674.38,2020-08-13,12021.11,Personal,2019-03-22,2032-07-01 04:59:17.908931,1.62
Evelyn Ward,paul13@example.org,(347)767-4187,deposit,255.21,2019-08-14,Checking,5674.38,2020-08-13,24333.16,Mortgage,2023-10-17,2025-11-18 04:59:17.915026,1.79
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,151.77,2021-08-31,Credit,369.92,2022-08-05,43727.85,Personal,2022-07-25,2051-05-23 04:59:17.905446,6.46
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,151.77,2021-08-31,Credit,369.92,2022-08-05,19769.58,Personal,2020-08-14,2033-02-03 04:59:17.908875,6.15
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,151.77,2021-08-31,Credit,369.92,2022-08-05,11336.16,Personal,2019-05-12,2036-06-15 04:59:17.910021,4.76
Tommy Brooks,burtonjames@example.com,(534)691-4906,deposit,419.84,2023-03-07,Savings,5901.01,2021-11-01,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,185.11,2020-10-30,Checking,5816.22,2023-09-20,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43
Cindy Armstrong,penningtonjohn@example.com,+1-690-266-8798x994,withdrawal,194.92,2023-10-30,Savings,824.41,2019-09-21,30356.38,Auto,2020-06-01,2042-07-30 04:59:17.908299,5.99
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,63.04,2022-12-11,Savings,4650.84,2022-01-12,15237.0,Mortgage,2022-04-24,2050-08-30 04:59:17.908761,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,63.04,2022-12-11,Savings,4650.84,2022-01-12,29065.5,Personal,2021-04-03,2029-10-01 04:59:17.912006,2.95
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,229.83,2022-12-26,Savings,6248.9,2023-04-07,38402.89,Mortgage,2020-05-25,2048-01-31 04:59:17.906735,4.64
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,229.83,2022-12-26,Savings,6248.9,2023-04-07,20567.09,Personal,2019-11-29,2051-05-06 04:59:17.909159,4.29
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,229.83,2022-12-26,Savings,6248.9,2023-04-07,32936.11,Mortgage,2020-12-25,2025-03-21 04:59:17.912443,6.22
Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,withdrawal,437.18,2021-08-05,Checking,5272.84,2022-03-23,42684.76,Personal,2024-01-15,2048-02-15 04:59:17.905910,1.96
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,388.07,2023-04-24,Savings,6248.9,2023-04-07,38402.89,Mortgage,2020-05-25,2048-01-31 04:59:17.906735,4.64
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,388.07,2023-04-24,Savings,6248.9,2023-04-07,20567.09,Personal,2019-11-29,2051-05-06 04:59:17.909159,4.29
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,388.07,2023-04-24,Savings,6248.9,2023-04-07,32936.11,Mortgage,2020-12-25,2025-03-21 04:59:17.912443,6.22
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,344.37,2019-04-15,Credit,4250.13,2020-09-19,15237.0,Mortgage,2022-04-24,2050-08-30 04:59:17.908761,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,344.37,2019-04-15,Credit,4250.13,2020-09-19,29065.5,Personal,2021-04-03,2029-10-01 04:59:17.912006,2.95
Brian Scott,marquezgeorge@example.org,001-925-602-1058x78333,withdrawal,316.43,2021-10-22,Checking,8778.2,2019-02-25,,,,,
Brian Dillon,swilson@example.net,001-699-957-2129x33878,deposit,26.02,2019-02-22,Checking,6267.88,2020-01-01,38994.49,Auto,2020-12-24,2026-08-31 04:59:17.910448,5.55
Francisco Potter,joneschristine@example.org,(564)921-3755x708,withdrawal,436.38,2023-02-05,Credit,6992.14,2022-03-08,35115.06,Auto,2023-09-01,2027-05-28 04:59:17.909841,5.87
Crystal George,james32@example.com,(934)652-9829,deposit,77.08,2019-10-21,Checking,9829.08,2022-05-29,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
Crystal George,james32@example.com,(934)652-9829,deposit,77.08,2019-10-21,Checking,9829.08,2022-05-29,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
Jason Martin,isabella87@example.com,+1-990-327-2307x7625,deposit,463.22,2021-12-30,Savings,4200.08,2023-06-02,8419.93,Personal,2021-10-29,2038-03-25 04:59:17.908413,4.1
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,422.89,2020-07-27,Credit,4250.13,2020-09-19,15237.0,Mortgage,2022-04-24,2050-08-30 04:59:17.908761,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,422.89,2020-07-27,Credit,4250.13,2020-09-19,29065.5,Personal,2021-04-03,2029-10-01 04:59:17.912006,2.95
Richard Pearson,anthonyholloway@example.net,458.559.1555x601,withdrawal,257.3,2019-07-21,Credit,2920.52,2023-12-09,,,,,
Kayla Blair,hmcmillan@example.com,(500)245-2355,deposit,161.43,2023-02-21,Checking,9925.68,2020-05-04,,,,,
Daniel Edwards,byoung@example.org,+1-615-756-7330,withdrawal,275.86,2023-08-03,Savings,8124.79,2021-02-17,34427.31,Mortgage,2022-07-26,2031-01-18 04:59:17.909902,4.02
Daniel Edwards,byoung@example.org,+1-615-756-7330,withdrawal,275.86,2023-08-03,Savings,8124.79,2021-02-17,17430.29,Auto,2023-10-16,2045-12-04 04:59:17.910330,2.8
Daniel Edwards,byoung@example.org,+1-615-756-7330,withdrawal,275.86,2023-08-03,Savings,8124.79,2021-02-17,14964.93,Auto,2020-12-22,2042-10-19 04:59:17.914385,5.33
Robert Brown,andersonmason@example.net,+1-653-515-2636x153,deposit,296.78,2022-05-18,Checking,2099.71,2021-11-11,,,,,
Jason Bennett,joseph97@example.net,(632)674-7662x30858,withdrawal,468.39,2019-07-01,Savings,8380.64,2021-11-24,42355.47,Mortgage,2019-02-23,2036-08-20 04:59:17.911618,7.05
Jason Bennett,joseph97@example.net,(632)674-7662x30858,withdrawal,468.39,2019-07-01,Savings,8380.64,2021-11-24,35193.83,Mortgage,2021-01-17,2029-09-08 04:59:17.912750,1.85
Shelby Smith,carolyn11@example.com,580.272.0301x65432,withdrawal,146.72,2021-12-27,Credit,8471.16,2021-09-05,,,,,
Crystal George,james32@example.com,(934)652-9829,withdrawal,93.05,2021-01-17,Checking,4814.99,2023-11-02,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,93.05,2021-01-17,Checking,4814.99,2023-11-02,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,418.26,2019-03-04,Checking,7800.33,2023-09-17,49675.33,Auto,2021-12-13,2036-08-10 04:59:17.909048,3.89
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,418.26,2019-03-04,Checking,7800.33,2023-09-17,31033.48,Personal,2023-11-11,2051-04-06 04:59:17.911837,5.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,418.26,2019-03-04,Checking,7800.33,2023-09-17,49754.29,Mortgage,2019-11-14,2037-12-30 04:59:17.914202,4.83
Crystal George,james32@example.com,(934)652-9829,deposit,425.53,2022-05-07,Savings,8865.78,2019-03-08,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
Crystal George,james32@example.com,(934)652-9829,deposit,425.53,2022-05-07,Savings,8865.78,2019-03-08,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
Jamie Stone,derekhart@example.org,473.393.2625x19595,withdrawal,202.62,2024-01-07,Savings,618.8,2022-06-07,27719.17,Mortgage,2022-02-12,2053-07-27 04:59:17.910650,1.54
Robert Mendez,evelynpatterson@example.org,759.294.8819,deposit,239.03,2021-12-23,Credit,1591.26,2019-08-22,,,,,
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,316.0,2020-06-21,Credit,444.6,2021-11-01,32428.9,Mortgage,2021-06-24,2050-01-08 04:59:17.907588,2.12
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,316.0,2020-06-21,Credit,444.6,2021-11-01,31406.77,Personal,2021-02-27,2038-10-12 04:59:17.907821,4.63
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,316.0,2020-06-21,Credit,444.6,2021-11-01,27834.0,Personal,2019-12-05,2037-08-15 04:59:17.909497,2.15
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,316.0,2020-06-21,Credit,444.6,2021-11-01,27873.08,Auto,2022-01-19,2037-06-03 04:59:17.913974,7.03
Monica Graves,xday@example.net,402.918.5084x3030,deposit,397.33,2020-01-15,Savings,8648.97,2022-06-05,48233.91,Personal,2023-12-03,2048-03-25 04:59:17.908108,4.7
Monica Graves,xday@example.net,402.918.5084x3030,deposit,397.33,2020-01-15,Savings,8648.97,2022-06-05,5710.02,Mortgage,2023-11-28,2047-03-11 04:59:17.909104,5.45
Jamie Stone,derekhart@example.org,473.393.2625x19595,withdrawal,177.82,2020-08-17,Savings,7533.24,2019-04-16,27719.17,Mortgage,2022-02-12,2053-07-27 04:59:17.910650,1.54
Vanessa James,colleendavis@example.org,891-740-2938,withdrawal,288.33,2022-08-26,Savings,479.11,2020-04-26,,,,,
Vanessa James,colleendavis@example.org,891-740-2938,withdrawal,474.14,2020-06-26,Savings,479.11,2020-04-26,,,,,
Kim Stone,garrett28@example.org,001-668-236-9938,withdrawal,123.46,2021-07-10,Credit,6510.08,2022-03-31,,,,,
Jason Carroll,katherinewebb@example.org,001-314-231-6194x278,deposit,321.25,2021-02-06,Savings,3181.09,2022-06-11,48863.64,Mortgage,2021-11-26,2034-05-16 04:59:17.910271,2.42
Jason Carroll,katherinewebb@example.org,001-314-231-6194x278,deposit,321.25,2021-02-06,Savings,3181.09,2022-06-11,48494.41,Auto,2019-02-16,2028-09-19 04:59:17.912166,3.62
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,111.82,2019-07-18,Savings,723.3,2020-12-31,33579.17,Personal,2022-07-10,2029-09-09 04:59:17.905381,4.84
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,111.82,2019-07-18,Savings,723.3,2020-12-31,20706.59,Mortgage,2021-02-23,2047-04-20 04:59:17.911914,5.64
Jason Martin,isabella87@example.com,+1-990-327-2307x7625,deposit,396.48,2020-01-29,Checking,4797.54,2022-03-28,8419.93,Personal,2021-10-29,2038-03-25 04:59:17.908413,4.1
Lauren Gray,kenneth99@example.net,218.715.2894x614,withdrawal,184.27,2020-12-07,Checking,4765.84,2022-02-19,48933.91,Auto,2020-08-06,2036-11-01 04:59:17.905052,4.43
Lauren Gray,kenneth99@example.net,218.715.2894x614,withdrawal,184.27,2020-12-07,Checking,4765.84,2022-02-19,47062.38,Mortgage,2019-10-22,2047-01-26 04:59:17.909784,6.27
Christopher Hale,watsondarren@example.org,+1-917-489-0869x753,withdrawal,109.91,2020-01-14,Checking,5108.1,2023-06-15,28988.77,Personal,2020-03-23,2028-05-28 04:59:17.914468,3.06
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,withdrawal,356.6,2022-07-19,Credit,7880.53,2023-08-14,11074.47,Personal,2022-02-11,2032-05-06 04:59:17.908590,5.36
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,withdrawal,356.6,2022-07-19,Credit,7880.53,2023-08-14,38903.23,Personal,2021-07-14,2042-10-07 04:59:17.909559,2.28
Richard Adams,wurobert@example.com,381.345.0592x7366,withdrawal,325.67,2019-10-27,Checking,5238.53,2020-06-11,19985.5,Mortgage,2019-06-24,2027-08-14 04:59:17.912267,5.01
Desiree Nelson,johnsonhaley@example.com,231.515.3313,withdrawal,128.3,2020-05-31,Savings,4492.62,2020-08-31,37664.6,Mortgage,2022-12-21,2033-01-26 04:59:17.906957,4.45
Scott Collins,veronica19@example.org,001-449-712-6361x791,withdrawal,320.2,2022-10-08,Checking,408.18,2020-11-29,47203.82,Auto,2021-06-15,2044-11-15 04:59:17.907182,5.28
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,275.7,2023-07-16,Savings,4650.84,2022-01-12,15237.0,Mortgage,2022-04-24,2050-08-30 04:59:17.908761,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,275.7,2023-07-16,Savings,4650.84,2022-01-12,29065.5,Personal,2021-04-03,2029-10-01 04:59:17.912006,2.95
Jason Martin,isabella87@example.com,+1-990-327-2307x7625,withdrawal,174.1,2023-06-26,Savings,4200.08,2023-06-02,8419.93,Personal,2021-10-29,2038-03-25 04:59:17.908413,4.1
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,275.85,2019-09-10,Checking,2161.94,2021-11-06,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,275.85,2019-09-10,Checking,2161.94,2021-11-06,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,275.85,2019-09-10,Checking,2161.94,2021-11-06,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,118.27,2019-10-05,Checking,7987.97,2020-08-30,43727.85,Personal,2022-07-25,2051-05-23 04:59:17.905446,6.46
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,118.27,2019-10-05,Checking,7987.97,2020-08-30,19769.58,Personal,2020-08-14,2033-02-03 04:59:17.908875,6.15
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,118.27,2019-10-05,Checking,7987.97,2020-08-30,11336.16,Personal,2019-05-12,2036-06-15 04:59:17.910021,4.76
